Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2019-02-04,Velvet Buzzsaw,2019,https://boxd.it/DbONv,4,,,2019-02-03
2019-02-10,The Sixth Sense,1999,https://boxd.it/Dvp5N,4,,,2019-02-09
2019-02-11,Hostel,2005,https://boxd.it/Dzrnn,1,,,2019-02-10
2019-02-12,Overlord,2018,https://boxd.it/DCzbv,3.5,,,2019-02-11
2019-02-14,Drive,2011,https://boxd.it/DIKLV,4.5,,,2019-02-13
2019-02-16,Green Book,2018,https://boxd.it/DO1Sp,4,,,2019-02-15
2019-02-18,West Side Story,1961,https://boxd.it/DUHYh,1,,,2019-02-17
2019-02-26,Bao,2018,https://boxd.it/EmLRZ,4,,,2019-02-25
2019-03-10,Spirited Away,2001,https://boxd.it/EZumj,4.5,,,2019-03-09
2019-03-15,Vice,2018,https://boxd.it/FfS2p,2.5,,,2019-03-14
2019-03-16,Kiki's Delivery Service,1989,https://boxd.it/FiMP7,4.5,,,2019-03-15
2019-03-18,The Big Short,2015,https://boxd.it/Fqf6J,4.5,,,2019-03-17
2019-03-23,Tau,2018,https://boxd.it/FEpi9,3,,,2019-03-22
2019-05-11,Shazam!,2019,https://boxd.it/HZUDx,3,,,2019-05-10
2019-09-06,Cube,1997,https://boxd.it/NZKgd,4,,,2019-09-02
2019-09-06,Zodiac,2007,https://boxd.it/NZ3Th,4,Yes,,2019-09-03
2019-09-06,Four Weddings and a Funeral,1994,https://boxd.it/O0a7h,3.5,,,2019-09-05
2019-09-10,Hereditary,2018,https://boxd.it/OdSfF,4.5,,,2019-09-09
2019-09-12,It,2017,https://boxd.it/OjLJZ,4,,,2019-09-11
2019-09-15,Warrior,2011,https://boxd.it/OsKW7,3.5,,,2019-09-14
2019-09-20,John Wick: Chapter 2,2017,https://boxd.it/OIKo7,4,,,2019-09-19
2019-09-21,It Chapter Two,2019,https://boxd.it/OKZdH,3,,,2019-09-20
2019-09-23,Prisoners,2013,https://boxd.it/OUGyB,4.5,,,2019-09-23
2019-09-25,Chain Reaction,1996,https://boxd.it/P0v0l,2,,,2019-09-25
2019-09-26,The Room,2003,https://boxd.it/P2dfB,1,,,2019-09-26
2019-09-28,Microwave Massacre,1979,https://boxd.it/P7epd,0.5,,,2019-09-27
2019-09-29,Ready or Not,2019,https://boxd.it/Paohz,2.5,,,2019-09-28
2019-10-08,Joker,2019,https://boxd.it/PHNXL,4.5,,,2019-10-08
2019-10-20,Inner Workings,2016,https://boxd.it/QooQ7,3.5,,,2019-10-19
2019-10-20,Moana,2016,https://boxd.it/QoFj5,4,,,2019-10-19
2019-10-20,Terminator 3: Rise of the Machines,2003,https://boxd.it/QqG45,2.5,,,2019-10-20
2019-10-21,Wind River,2017,https://boxd.it/QvkYb,4.5,,,2019-10-21
2019-10-29,Brightburn,2019,https://boxd.it/QXAL9,2.5,,,2019-10-28
2019-11-05,Arrival,2016,https://boxd.it/Rpo7n,5,Yes,,2019-11-05
2019-11-09,Up in the Air,2009,https://boxd.it/RDc2j,4,,,2019-11-09
2019-11-17,How to Train Your Dragon,2010,https://boxd.it/S5PAZ,4,,,2019-11-16
2019-11-19,Rush,2013,https://boxd.it/SeYWD,4,,,2019-11-19
2019-11-26,Ford v Ferrari,2019,https://boxd.it/SEYDt,5,,,2019-11-26
2019-12-01,In Bruges,2008,https://boxd.it/SWVsN,2.5,,,2019-11-30
2019-12-03,Home Alone,1990,https://boxd.it/T6c0z,4,,,2019-12-02
2019-12-04,Jumper,2008,https://boxd.it/TaxpN,2,,,2019-12-03
2019-12-06,Die Hard,1988,https://boxd.it/ThzJz,3,,,2019-12-05
2019-12-07,Kill Bill: Vol. 1,2003,https://boxd.it/TkVpH,4,,,2019-12-06
2019-12-08,Knives Out,2019,https://boxd.it/Tox6J,4.5,,,2019-12-07
2019-12-09,Dredd,2012,https://boxd.it/TtKGl,3,,,2019-12-08
2019-12-16,Chef,2014,https://boxd.it/TVFkv,4,,,2019-12-15
2019-12-18,Spectre,2015,https://boxd.it/U5GOB,3,,,2019-12-18
2019-12-19,Wind River,2017,https://boxd.it/U7Aap,4.5,Yes,,2019-12-18
2019-12-22,Paddington,2014,https://boxd.it/UkTuT,4,,,2019-12-21
2019-12-25,Blackadder's Christmas Carol,1988,https://boxd.it/UAlAv,4,,,2019-12-24
2019-12-26,Klaus,2019,https://boxd.it/UDAob,4,,,2019-12-25
2019-12-27,Amélie,2001,https://boxd.it/ULSEx,4,,,2019-12-26
2019-12-29,Star Wars: The Rise of Skywalker,2019,https://boxd.it/UXuLN,3,,,2019-12-28
