Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2019-02-11,Hostel,2005,https://boxd.it/Dzrnn,1,,Just cut the eye off with scissors. That'll do it.,,2019-02-10
2019-02-12,Overlord,2018,https://boxd.it/DCzbv,3.5,,Not the meathook NOOOOOOOOO,,2019-02-11
2019-02-14,Drive,2011,https://boxd.it/DIKLV,4.5,,Yo stop stabbing people Bernie 😡😡😡,,2019-02-13
2019-02-18,West Side Story,1961,https://boxd.it/DUHYh,1,,"Ever wanted 2.5h to feel like 5? Well, this movie's for you! Got some cool songs ig",,2019-02-17
2019-03-10,Spirited Away,2001,https://boxd.it/EZumj,4.5,,"I haven't watched a lot of anime but Studio Ghibli have really set the bar for any future films or shows I watch.

The animation in Spirited Away was incredible. The amount of detail in each shot was amazing, and really helped draw me into the world and its storyline.",,2019-03-09
2019-03-15,Vice,2018,https://boxd.it/FfS2p,2.5,,Well...the parts that <i>weren't</i> directed like a YouTube video essay were alright.,,2019-03-14
2019-03-18,The Big Short,2015,https://boxd.it/Fqf6J,4.5,,Wow.,,2019-03-17
2019-05-11,Shazam!,2019,https://boxd.it/HZUDx,3,,Endgame has spoiled every superhero movie for me...,,2019-05-10
2019-09-06,Zodiac,2007,https://boxd.it/NZ3Th,4,Yes,"A great film with superb directing, only slightly let down by the pacing near the end.",,2019-09-03
2019-09-06,Cube,1997,https://boxd.it/NZKgd,4,,Went in with relatively low expectations and they were greatly surpassed. Good film. Would watch again.,,2019-09-02
2019-09-06,Four Weddings and a Funeral,1994,https://boxd.it/O0a7h,3.5,,Duckface packs a mean right hook.,,2019-09-05
2019-09-10,Hereditary,2018,https://boxd.it/OdSfF,4.5,,"Yeah, you know, I dig it. Good film. Not quite as scary as I expected but there were some really good scenes throughout.",,2019-09-09
2019-09-20,John Wick: Chapter 2,2017,https://boxd.it/OIKo7,4,,"I think the thing I love the most about this series is the existence The Continental and The High Table. It's such an interesting concept for the criminal underworld to all follow the rules set out by Winston, lest they be excommunicated from The Continental.

Great film. The action sequences were stunning as expected.",,2019-09-19
